SPECTRUM - MS,,
2NM118A_HILICAnnoWgN14_2NM111G_12.raw,,
FTMS - p ESI Full ms [85.00-1275.00],,
Scan #: 2287,,
RT: 21.42,,
m/z,Intensity,Relative
499.21,384385.3,0.02
500.09,563360.3,0.02
511.33,484789.4,0.02
516.06,434317.9,0.02
528.23,114783.9,0
533.1,119502.7,0
542.25,103274.5,0
565.18,125406.6,0
571.38,92309.1,0
572.34,677728.5,0.03
585.29,114878.2,0
587.2,350284.5,0.01
588.34,188990.8,0.01
597.33,189849,0.01
598.36,483655.7,0.02
605.09,108645.9,0
614.35,376649.4,0.01
624.38,112528,0
626.36,127633.8,0.01
628.33,105721.8,0
629.37,116950.4,0
630.35,202439.6,0.01
640.37,140635.5,0.01
660.73,373700.1,0.01
662.1,481517.9,0.02
734.26,422281.6,0.02
734.76,166178,0.01
745.41,179844.1,0.01
746.43,527638.3,0.02
762.43,147286.6,0.01
772.45,199586,0.01
775.15,95367.8,0
809.15,178622.3,0.01
837.62,108060.9,0
881.31,198317.2,0.01
955.34,159934.4,0.01
983.74,116552.4,0
1028.36,117149.2,0
1029.37,146391.6,0.01
1127.07,140292.8,0.01
1242.94,115526.5,0
